track_id,title,artist_name,album_name,genre,duration_ms,popularity,danceability,energy,valence,tempo,acousticness,instrumentalness,liveness,speechiness,loudness,mode,key,time_signature,mood_bucket,main_genre,danceability_label,energy_label,mood_label,tempo_label,acoustic_label,loudness_label,mode_label
3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),pop,156943,100,0.714,0.472,0.238,131.121,0.013,4.51e-06,0.266,0.0864,-7.375,1,2,4,sad,pop,high,medium,sad,fast,electronic,normal,major (bright)
2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",hip-hop,198937,99,0.621,0.782,0.55,128.033,0.0125,0.033,0.23,0.044,-5.548,1,2,4,hype,hip-hop,medium,energetic,neutral,fast,electronic,loud,major (bright)
4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),"David Guetta, Bebe Rexha",I'm Good (Blue),pop,175238,98,0.561,0.965,0.304,128.04,0.00383,7.07e-06,0.371,0.0343,-3.673,0,7,4,hype,pop,medium,energetic,sad,fast,electronic,loud,minor (moody)
5ww2BF9slyYgNOk37BlC4u,La Bachata,Manuel Turizo,La Bachata,latino,162637,98,0.835,0.679,0.85,124.98,0.583,1.98e-06,0.218,0.0364,-5.329,0,7,4,happy,latin,high,medium,happy,fast,mixed,loud,minor (moody)
6Sq7ltF9Qa7SNFBsV5Cogx,Me Porto Bonito,"Bad Bunny, Chencho Corleone",Un Verano Sin Ti,latino,178567,97,0.911,0.712,0.425,92.005,0.0901,2.68e-05,0.0933,0.0817,-5.105,0,1,4,focus,latin,high,energetic,neutral,medium,electronic,loud,minor (moody)
1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó,Bad Bunny,Un Verano Sin Ti,latino,243716,97,0.65,0.715,0.187,106.672,0.0993,0.000291,0.126,0.253,-5.198,0,5,4,focus,latin,medium,energetic,sad,medium,electronic,loud,minor (moody)
4h9wh7iOZ0GGn8QVp4RAOB,I Ain't Worried,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",piano,148485,96,0.704,0.797,0.825,139.994,0.0826,0.000745,0.0546,0.0475,-5.927,1,0,4,happy,classical,high,energetic,happy,fast,electronic,loud,major (bright)
5IgjP7X4th6nMNDh4akUHb,Under The Influence,Chris Brown,Indigo (Extended),pop,184613,96,0.733,0.69,0.31,116.992,0.0635,1.18e-06,0.105,0.0427,-5.529,0,9,4,focus,pop,high,medium,sad,medium,electronic,loud,minor (moody)
5Eax0qFko2dh7Rl2lYs3bx,Efecto,Bad Bunny,Un Verano Sin Ti,latino,213061,96,0.801,0.475,0.234,98.047,0.141,1.73e-05,0.0639,0.0516,-8.797,0,7,4,sad,latin,high,medium,sad,medium,electronic,normal,minor (moody)
4LRPiXqCikLlN15c3yImP7,As It Was,Harry Styles,As It Was,pop,167303,95,0.52,0.731,0.662,173.93,0.342,0.00101,0.311,0.0557,-5.338,0,6,4,happy,pop,medium,energetic,happy,fast,mixed,loud,minor (moody)
3k3NWokhRRkEPhCzPmV8TW,Ojitos Lindos,"Bad Bunny, Bomba Estéreo",Un Verano Sin Ti,latino,258298,95,0.647,0.686,0.268,79.928,0.08,1.34e-06,0.528,0.0413,-5.745,0,3,4,focus,latin,medium,medium,sad,slow,electronic,loud,minor (moody)
6xGruZOHLs39ZbVccQTuPZ,Glimpse of Us,Joji,Glimpse of Us,pop,233456,94,0.44,0.317,0.268,169.914,0.891,4.78e-06,0.141,0.0531,-9.258,1,8,3,sad,pop,medium,calm,sad,fast,acoustic,normal,major (bright)
6Xom58OOXk2SoU711L2IXO,Moscow Mule,Bad Bunny,Un Verano Sin Ti,latino,245939,94,0.804,0.674,0.292,99.968,0.294,1.18e-06,0.115,0.0333,-5.453,0,5,4,focus,latin,high,medium,sad,medium,electronic,loud,minor (moody)
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,I Love You.,pop,240400,93,0.612,0.807,0.398,124.053,0.0495,0.0177,0.101,0.0336,-2.81,1,10,4,hype,pop,medium,energetic,neutral,fast,electronic,loud,major (bright)
3JvKfv6T31zO0ini8iNItO,Another Love,Tom Odell,Long Way Down (Deluxe),pop,244360,93,0.445,0.537,0.131,122.769,0.695,1.65e-05,0.0944,0.04,-8.532,0,4,4,focus,pop,medium,medium,sad,fast,mixed,normal,minor (moody)
31i56LZnwE6uSu3exoHjtB,Neverita,Bad Bunny,Un Verano Sin Ti,latin,173119,93,0.876,0.498,0.428,122.016,0.0706,0.0,0.143,0.0478,-7.511,1,10,4,focus,latin,high,medium,neutral,fast,electronic,normal,major (bright)
7dSZ6zGTQx66c2GF91xCrb,PROVENZA,KAROL G,PROVENZA,reggaeton,210200,93,0.87,0.516,0.53,111.005,0.656,0.00823,0.11,0.0541,-8.006,1,1,4,focus,latin,high,medium,neutral,medium,mixed,normal,major (bright)
1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,Beyoncé,RENAISSANCE,dance,225388,93,0.78,0.689,0.642,115.042,0.0368,9.69e-06,0.0698,0.141,-5.668,1,7,4,happy,electronic,high,medium,neutral,medium,electronic,loud,major (bright)
0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),"Rema, Selena Gomez",Calm Down (with Selena Gomez),pop,239317,92,0.801,0.806,0.802,106.999,0.382,0.000669,0.114,0.0381,-5.206,1,11,4,happy,pop,high,energetic,happy,medium,mixed,loud,major (bright)
0mBP9X2gPCuapvpZ7TGDk3,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, Jung Kook, BTS",Left and Right (Feat. Jung Kook of BTS),pop,154486,92,0.881,0.592,0.719,101.058,0.619,1.32e-05,0.0901,0.0324,-4.898,1,2,4,focus,pop,high,medium,happy,medium,mixed,loud,major (bright)
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,Arctic Monkeys,AM,indie,183956,92,0.464,0.417,0.479,67.528,0.136,0.022,0.0974,0.0256,-9.345,0,0,4,focus,rock,medium,medium,neutral,slow,electronic,normal,minor (moody)
4C6Uex2ILwJi9sZXRdmqXp,Super Freaky Girl,Nicki Minaj,Super Freaky Girl,dance,170977,92,0.95,0.891,0.912,133.01,0.0645,1.77e-05,0.309,0.241,-2.653,1,2,4,happy,electronic,high,energetic,happy,fast,electronic,loud,major (bright)
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,After Hours,pop,200040,91,0.514,0.73,0.334,171.005,0.00146,9.54e-05,0.0897,0.0598,-5.934,1,1,4,focus,pop,medium,energetic,neutral,fast,electronic,loud,major (bright)
41oY4WCTj5kccfesTVFnvN,Tarot,"Bad Bunny, Jhayco",Un Verano Sin Ti,latin,237894,91,0.795,0.684,0.419,114.011,0.0225,0.0,0.658,0.0419,-3.971,0,11,4,focus,latin,high,medium,neutral,medium,electronic,loud,minor (moody)
79HZAZNnOE97rb2hnI0XQr,LOKERA,"Rauw Alejandro, Lyanno, Brray",LOKERA,latin,195294,91,0.834,0.828,0.58,102.019,0.21,5.91e-06,0.103,0.0452,-2.657,0,11,4,focus,latin,high,energetic,neutral,medium,electronic,loud,minor (moody)
6i1g5ZRmJZAkDwBaUZ3f2i,Caile,Luar La L,L3tra,latin,141340,91,0.704,0.756,0.461,121.737,0.298,3.75e-06,0.0852,0.448,-4.948,1,0,3,hype,latin,high,energetic,neutral,fast,electronic,loud,major (bright)
3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage","Honestly, Nevermind",hip-hop,218364,91,0.529,0.673,0.366,165.921,0.000307,2.41e-06,0.093,0.175,-4.711,1,0,4,focus,hip-hop,medium,medium,neutral,fast,electronic,loud,major (bright)
75FEaRjZTKLhTrFGsfMUXR,Running Up That Hill (A Deal With God),Kate Bush,Hounds Of Love,piano,298933,90,0.629,0.547,0.197,108.375,0.72,0.00314,0.0604,0.055,-13.123,0,10,4,focus,classical,medium,medium,sad,medium,acoustic,quiet,minor (moody)
0T5iIrXA4p5GsubkhuBIKV,Until I Found You,Stephen Sanchez,Until I Found You,pop,177720,90,0.539,0.508,0.227,101.358,0.727,0.0,0.174,0.0288,-6.05,1,10,3,focus,pop,medium,medium,sad,medium,acoustic,normal,major (bright)
1cKHdTo9u0ZymJdPGSh6nq,I Was Never There,"The Weeknd, Gesaffelstein","My Dear Melancholy,",pop,241066,90,0.323,0.737,0.155,113.26,0.142,0.000162,0.163,0.0338,-4.008,1,10,4,focus,pop,low,energetic,sad,medium,electronic,loud,major (bright)
2eAvDnpXP5W0cVtiI0PUxV,Dandelions,Ruth B.,Safe Haven,pop,233720,90,0.609,0.692,0.454,116.959,0.0157,0.0,0.0864,0.0259,-2.958,1,1,3,focus,pop,medium,medium,neutral,medium,electronic,loud,major (bright)
58HvfVOeJY7lUuCqF0m3ly,MIDDLE OF THE NIGHT,Elley Duhé,MIDDLE OF THE NIGHT,pop,184447,90,0.41,0.611,0.0899,185.727,0.0228,0.0,0.116,0.0467,-8.271,0,4,3,focus,pop,medium,medium,sad,fast,electronic,normal,minor (moody)
7MXVkk9YMctZqd1Srtv4MB,Starboy,"The Weeknd, Daft Punk",Starboy,pop,230453,90,0.679,0.587,0.486,186.003,0.141,6.35e-06,0.137,0.276,-7.015,1,7,4,focus,pop,medium,medium,neutral,fast,electronic,normal,major (bright)
1797zYiX4cKosMH836X9Gt,La Corriente,"Bad Bunny, Tony Dize",Un Verano Sin Ti,latino,198367,90,0.663,0.786,0.579,196.12,0.229,0.0,0.219,0.195,-3.51,0,11,4,hype,latin,medium,energetic,neutral,fast,electronic,loud,minor (moody)
4tYFy8ALRjIZvnvSLw5lxN,Party,"Bad Bunny, Rauw Alejandro",Un Verano Sin Ti,latino,227628,90,0.829,0.799,0.471,97.013,0.0151,0.000543,0.242,0.0897,-5.389,1,9,4,focus,latin,high,energetic,neutral,medium,electronic,loud,major (bright)
2rurDawMfoKP4uHyb2kJBt,Te Felicito,"Shakira, Rauw Alejandro",Te Felicito,latin,172235,90,0.695,0.636,0.575,174.14,0.234,0.0,0.081,0.317,-4.654,1,5,4,focus,latin,medium,medium,neutral,fast,electronic,loud,major (bright)
1ga4PztXOIw1yBbdUt2X8v,GATÚBELA,"KAROL G, Maldy",GATÚBELA,reggaeton,209160,90,0.627,0.858,0.342,92.523,0.263,0.0,0.21,0.386,-2.824,0,11,4,focus,latin,medium,energetic,neutral,medium,electronic,loud,minor (moody)
7DbdUf8aHSYoliSjO6LZv6,"Sex, Drugs, Etc.",Beach Weather,Chit Chat,rock,196784,90,0.572,0.839,0.465,143.969,0.013,0.00976,0.522,0.0377,-5.083,0,4,4,hype,rock,medium,energetic,neutral,fast,electronic,loud,minor (moody)
4zN21mbAuaD0WqtmaTZZeP,Ferrari,"James Hype, Miggy Dela Rosa",Ferrari,dance,186661,90,0.847,0.69,0.692,125.004,0.0127,6e-05,0.0526,0.0493,-7.877,0,1,4,happy,electronic,high,medium,happy,fast,electronic,normal,minor (moody)
0hquQWY3xvYqN4qtiquniF,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),dance,182906,90,0.801,0.601,0.74,159.969,0.0777,3.23e-05,0.145,0.255,-7.574,0,8,4,happy,electronic,high,medium,happy,fast,electronic,normal,minor (moody)
38T0tPVZHcPZyhtOcCP7pF,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),hip-hop,210575,90,0.637,0.715,0.308,141.872,0.148,0.0,0.0892,0.0455,-4.971,0,2,4,focus,hip-hop,medium,energetic,sad,fast,electronic,loud,minor (moody)
1Fid2jjqsHViMX6xNH70hE,Atlantis,Seafret,Tell Me It's Real (Expanded Edition),folk,229173,90,0.4,0.479,0.213,166.159,0.0529,2.14e-06,0.115,0.0308,-7.989,0,8,4,sad,country,medium,medium,sad,fast,electronic,normal,minor (moody)
7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",One Kiss (with Dua Lipa),progressive-house,214846,89,0.791,0.862,0.592,123.994,0.037,2.19e-05,0.0814,0.11,-3.24,0,9,4,hype,electronic,high,energetic,neutral,fast,electronic,loud,minor (moody)
72yP0DUlWPyH8P7IoxskwN,Hold Me Closer,"Elton John, Britney Spears",Hold Me Closer,piano,202245,89,0.667,0.75,0.486,126.041,0.0746,0.000198,0.197,0.0906,-4.602,1,0,4,focus,classical,medium,energetic,neutral,fast,electronic,loud,major (bright)
09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,The Weeknd,"My Dear Melancholy,",pop,228373,89,0.461,0.593,0.175,134.17,0.17,0.0,0.307,0.0356,-4.954,1,1,3,focus,pop,medium,medium,sad,fast,electronic,loud,major (bright)
