user_id,session_id,self_reported_mood,activity_type,timestamp_start,timestamp_end
joseph,0,neutral,study,2021-07-11 16:20:48+00:00,2021-07-11 16:21:37+00:00
joseph,1,neutral,commute,2021-07-11 18:47:06+00:00,2021-07-11 18:51:55+00:00
joseph,2,neutral,commute,2021-07-12 07:38:46+00:00,2021-07-12 09:21:39+00:00
joseph,3,neutral,study,2021-07-12 14:50:22+00:00,2021-07-12 15:10:29+00:00
joseph,4,neutral,relax,2021-07-12 18:07:14+00:00,2021-07-12 18:07:14+00:00
joseph,5,neutral,commute,2021-07-12 18:58:06+00:00,2021-07-12 21:34:48+00:00
joseph,6,neutral,relax,2021-07-13 05:58:59+00:00,2021-07-13 05:59:34+00:00
joseph,7,neutral,commute,2021-07-13 08:37:54+00:00,2021-07-13 08:37:54+00:00
joseph,8,neutral,study,2021-07-13 14:59:44+00:00,2021-07-13 14:59:44+00:00
joseph,9,happy,relax,2021-07-13 22:41:04+00:00,2021-07-14 00:52:20+00:00
joseph,10,neutral,relax,2021-07-14 05:02:13+00:00,2021-07-14 05:02:13+00:00
joseph,11,neutral,commute,2021-07-14 18:34:34+00:00,2021-07-14 20:43:00+00:00
joseph,12,hype,workout,2021-07-14 23:14:59+00:00,2021-07-14 23:43:31+00:00
joseph,13,neutral,relax,2021-07-15 00:21:43+00:00,2021-07-15 00:30:03+00:00
joseph,14,neutral,study,2021-07-15 06:04:14+00:00,2021-07-15 06:19:49+00:00
joseph,15,neutral,study,2021-07-15 14:52:47+00:00,2021-07-15 14:52:47+00:00
joseph,16,neutral,relax,2021-07-15 21:03:46+00:00,2021-07-15 21:03:48+00:00
joseph,17,neutral,study,2021-07-16 16:46:33+00:00,2021-07-16 16:46:33+00:00
joseph,18,neutral,study,2021-07-16 17:50:14+00:00,2021-07-16 17:55:50+00:00
joseph,19,neutral,commute,2021-07-16 22:14:22+00:00,2021-07-16 22:41:45+00:00
joseph,20,neutral,relax,2021-07-17 02:08:49+00:00,2021-07-17 02:37:21+00:00
joseph,21,neutral,relax,2021-07-17 05:34:51+00:00,2021-07-17 05:47:20+00:00
joseph,22,neutral,commute,2021-07-17 19:17:52+00:00,2021-07-17 21:11:55+00:00
joseph,23,neutral,commute,2021-07-17 22:12:52+00:00,2021-07-17 22:45:50+00:00
joseph,24,neutral,relax,2021-07-18 01:15:32+00:00,2021-07-18 01:15:32+00:00
joseph,25,neutral,relax,2021-07-18 04:27:13+00:00,2021-07-18 04:52:00+00:00
joseph,26,neutral,commute,2021-07-18 08:29:52+00:00,2021-07-18 08:29:52+00:00
joseph,27,neutral,study,2021-07-18 14:47:08+00:00,2021-07-18 14:48:01+00:00
joseph,28,neutral,study,2021-07-18 16:12:46+00:00,2021-07-18 16:21:34+00:00
joseph,29,neutral,commute,2021-07-18 19:07:38+00:00,2021-07-18 21:11:44+00:00
joseph,30,neutral,commute,2021-07-18 21:44:40+00:00,2021-07-18 21:44:40+00:00
joseph,31,happy,relax,2021-07-19 00:14:50+00:00,2021-07-19 01:00:23+00:00
joseph,32,neutral,study,2021-07-19 06:08:15+00:00,2021-07-19 07:30:10+00:00
joseph,33,neutral,commute,2021-07-19 08:07:47+00:00,2021-07-19 08:07:47+00:00
joseph,34,happy,commute,2021-07-19 18:00:57+00:00,2021-07-19 19:40:39+00:00
joseph,35,neutral,commute,2021-07-19 20:26:49+00:00,2021-07-19 20:26:49+00:00
joseph,36,neutral,relax,2021-07-20 00:09:20+00:00,2021-07-20 00:09:20+00:00
joseph,37,neutral,study,2021-07-20 17:10:37+00:00,2021-07-20 17:36:52+00:00
joseph,38,happy,commute,2021-07-20 22:05:59+00:00,2021-07-20 23:02:42+00:00
joseph,39,neutral,relax,2021-07-21 04:05:10+00:00,2021-07-21 04:14:36+00:00
joseph,40,happy,study,2021-07-21 16:01:49+00:00,2021-07-21 16:01:49+00:00
joseph,41,neutral,commute,2021-07-21 20:19:56+00:00,2021-07-21 22:00:38+00:00
joseph,42,happy,relax,2021-07-22 04:57:04+00:00,2021-07-22 05:05:27+00:00
joseph,43,neutral,commute,2021-07-22 18:33:45+00:00,2021-07-22 20:10:43+00:00
joseph,44,neutral,relax,2021-07-23 02:25:09+00:00,2021-07-23 03:13:40+00:00
joseph,45,neutral,commute,2021-07-23 18:26:45+00:00,2021-07-23 18:59:54+00:00
joseph,46,sad,commute,2021-07-23 21:32:04+00:00,2021-07-23 21:47:40+00:00
joseph,47,happy,relax,2021-07-24 01:38:20+00:00,2021-07-24 01:47:10+00:00
joseph,48,happy,relax,2021-07-24 02:36:52+00:00,2021-07-24 05:07:58+00:00
joseph,49,neutral,relax,2021-07-24 05:52:09+00:00,2021-07-24 05:59:00+00:00
joseph,50,neutral,commute,2021-07-24 07:27:45+00:00,2021-07-24 07:31:50+00:00
joseph,51,neutral,commute,2021-07-24 22:09:19+00:00,2021-07-24 22:11:37+00:00
joseph,52,neutral,commute,2021-07-24 23:55:05+00:00,2021-07-24 23:55:05+00:00
joseph,53,neutral,relax,2021-07-25 05:28:16+00:00,2021-07-25 05:35:11+00:00
joseph,54,neutral,study,2021-07-25 14:52:35+00:00,2021-07-25 14:52:35+00:00
joseph,55,neutral,commute,2021-07-25 19:40:46+00:00,2021-07-25 21:28:06+00:00
joseph,56,neutral,commute,2021-07-26 18:47:25+00:00,2021-07-26 18:47:30+00:00
joseph,57,neutral,relax,2021-07-27 02:41:03+00:00,2021-07-27 05:08:04+00:00
joseph,58,neutral,study,2021-07-27 17:50:17+00:00,2021-07-27 17:50:17+00:00
joseph,59,neutral,commute,2021-07-27 20:29:59+00:00,2021-07-27 22:36:51+00:00
joseph,60,neutral,study,2021-07-28 17:26:11+00:00,2021-07-28 17:41:48+00:00
joseph,61,neutral,commute,2021-07-28 19:52:36+00:00,2021-07-28 20:32:08+00:00
joseph,62,happy,commute,2021-07-28 21:05:41+00:00,2021-07-28 23:52:29+00:00
joseph,63,neutral,relax,2021-07-29 04:40:33+00:00,2021-07-29 05:12:15+00:00
joseph,64,happy,commute,2021-07-29 23:23:08+00:00,2021-07-29 23:28:30+00:00
joseph,65,neutral,study,2021-07-30 16:18:03+00:00,2021-07-30 16:28:05+00:00
joseph,66,happy,study,2021-07-30 17:47:04+00:00,2021-07-30 17:57:56+00:00
joseph,67,neutral,commute,2021-07-30 23:02:48+00:00,2021-07-30 23:12:08+00:00
joseph,68,happy,relax,2021-07-31 00:22:28+00:00,2021-07-31 00:48:25+00:00
joseph,69,happy,relax,2021-07-31 02:03:02+00:00,2021-07-31 02:41:01+00:00
joseph,70,happy,relax,2021-07-31 03:22:20+00:00,2021-07-31 04:54:53+00:00
joseph,71,neutral,commute,2021-07-31 06:00:34+00:00,2021-07-31 06:10:57+00:00
joseph,72,happy,relax,2021-08-01 01:01:06+00:00,2021-08-01 04:00:25+00:00
joseph,73,neutral,study,2021-08-01 16:16:19+00:00,2021-08-01 17:03:13+00:00
joseph,74,neutral,commute,2021-08-01 18:42:39+00:00,2021-08-01 18:52:30+00:00
joseph,75,neutral,relax,2021-08-02 00:44:19+00:00,2021-08-02 00:53:16+00:00
joseph,76,neutral,relax,2021-08-02 01:33:57+00:00,2021-08-02 01:37:27+00:00
joseph,77,happy,relax,2021-08-02 02:47:17+00:00,2021-08-02 05:32:32+00:00
joseph,78,neutral,study,2021-08-02 06:06:07+00:00,2021-08-02 06:21:55+00:00
joseph,79,happy,study,2021-08-02 13:28:52+00:00,2021-08-02 15:42:33+00:00
joseph,80,happy,relax,2021-08-02 23:21:31+00:00,2021-08-03 01:30:23+00:00
joseph,81,hype,workout,2021-08-03 02:19:58+00:00,2021-08-03 02:45:26+00:00
joseph,82,neutral,relax,2021-08-03 04:58:40+00:00,2021-08-03 04:58:40+00:00
joseph,83,neutral,study,2021-08-03 14:27:32+00:00,2021-08-03 14:27:32+00:00
joseph,84,neutral,study,2021-08-03 15:07:58+00:00,2021-08-03 15:48:35+00:00
joseph,85,neutral,commute,2021-08-03 21:36:00+00:00,2021-08-03 21:56:24+00:00
joseph,86,neutral,commute,2021-08-03 23:48:00+00:00,2021-08-03 23:48:00+00:00
joseph,87,neutral,relax,2021-08-04 03:58:02+00:00,2021-08-04 04:06:49+00:00
joseph,88,neutral,study,2021-08-04 14:24:05+00:00,2021-08-04 14:24:05+00:00
joseph,89,neutral,study,2021-08-04 15:16:38+00:00,2021-08-04 15:54:13+00:00
joseph,90,neutral,commute,2021-08-04 23:07:06+00:00,2021-08-04 23:29:29+00:00
joseph,91,neutral,study,2021-08-05 14:56:22+00:00,2021-08-05 15:53:58+00:00
joseph,92,neutral,commute,2021-08-05 19:51:56+00:00,2021-08-05 20:09:47+00:00
joseph,93,neutral,relax,2021-08-06 02:22:58+00:00,2021-08-06 02:35:56+00:00
joseph,94,neutral,study,2021-08-06 14:45:22+00:00,2021-08-06 14:45:22+00:00
joseph,95,happy,study,2021-08-06 16:22:49+00:00,2021-08-06 18:41:42+00:00
joseph,96,neutral,commute,2021-08-06 19:32:42+00:00,2021-08-06 19:35:19+00:00
joseph,97,neutral,commute,2021-08-06 20:11:26+00:00,2021-08-06 20:25:26+00:00
joseph,98,happy,commute,2021-08-06 22:43:33+00:00,2021-08-07 00:23:18+00:00
joseph,99,neutral,relax,2021-08-07 05:00:26+00:00,2021-08-07 05:00:26+00:00
joseph,100,neutral,commute,2021-08-07 18:06:00+00:00,2021-08-07 18:54:08+00:00
joseph,101,neutral,commute,2021-08-07 19:53:26+00:00,2021-08-07 20:06:25+00:00
joseph,102,sad,commute,2021-08-07 22:38:22+00:00,2021-08-07 22:49:06+00:00
joseph,103,sad,relax,2021-08-08 00:05:41+00:00,2021-08-08 00:05:41+00:00
joseph,104,happy,relax,2021-08-08 05:33:02+00:00,2021-08-08 06:02:04+00:00
joseph,105,neutral,commute,2021-08-08 07:41:35+00:00,2021-08-08 07:57:30+00:00
joseph,106,neutral,study,2021-08-08 16:18:46+00:00,2021-08-08 16:29:14+00:00
joseph,107,hype,workout,2021-08-08 17:42:22+00:00,2021-08-08 17:51:02+00:00
joseph,108,neutral,commute,2021-08-08 20:52:03+00:00,2021-08-08 22:48:44+00:00
joseph,109,neutral,commute,2021-08-09 06:03:05+00:00,2021-08-09 06:22:41+00:00
joseph,110,neutral,commute,2021-08-09 07:30:45+00:00,2021-08-09 07:30:45+00:00
joseph,111,neutral,commute,2021-08-09 08:27:42+00:00,2021-08-09 08:41:14+00:00
joseph,112,sad,commute,2021-08-09 16:53:11+00:00,2021-08-09 18:52:06+00:00
joseph,113,neutral,commute,2021-08-09 20:43:03+00:00,2021-08-09 20:55:45+00:00
joseph,114,happy,relax,2021-08-10 04:21:17+00:00,2021-08-10 04:39:01+00:00
joseph,115,neutral,study,2021-08-10 14:41:46+00:00,2021-08-10 14:41:46+00:00
joseph,116,neutral,commute,2021-08-10 18:15:01+00:00,2021-08-10 20:21:08+00:00
joseph,117,neutral,commute,2021-08-10 21:53:47+00:00,2021-08-10 22:23:34+00:00
joseph,118,neutral,commute,2021-08-10 23:39:41+00:00,2021-08-10 23:39:41+00:00
joseph,119,neutral,relax,2021-08-11 03:05:24+00:00,2021-08-11 03:07:04+00:00
joseph,120,neutral,commute,2021-08-11 18:06:50+00:00,2021-08-11 20:07:45+00:00
joseph,121,neutral,commute,2021-08-11 21:45:35+00:00,2021-08-11 23:53:45+00:00
joseph,122,neutral,commute,2021-08-12 05:48:46+00:00,2021-08-12 06:41:06+00:00
joseph,123,neutral,commute,2021-08-12 17:02:58+00:00,2021-08-12 19:58:48+00:00
joseph,124,neutral,commute,2021-08-12 21:49:20+00:00,2021-08-12 21:49:20+00:00
joseph,125,sad,study,2021-08-13 16:23:21+00:00,2021-08-13 16:23:53+00:00
joseph,126,sad,commute,2021-08-13 21:57:03+00:00,2021-08-13 22:36:23+00:00
joseph,127,neutral,commute,2021-08-14 21:27:47+00:00,2021-08-14 21:27:47+00:00
joseph,128,sad,commute,2021-08-15 19:29:51+00:00,2021-08-15 19:49:21+00:00
joseph,129,neutral,relax,2021-08-16 05:07:43+00:00,2021-08-16 05:47:36+00:00
joseph,130,neutral,commute,2021-08-16 07:48:57+00:00,2021-08-16 08:16:00+00:00
joseph,131,neutral,commute,2021-08-16 21:10:48+00:00,2021-08-16 23:35:08+00:00
joseph,132,sad,relax,2021-08-17 01:16:43+00:00,2021-08-17 02:24:38+00:00
joseph,133,sad,relax,2021-08-17 03:07:43+00:00,2021-08-17 03:57:25+00:00
joseph,134,neutral,study,2021-08-17 15:35:01+00:00,2021-08-17 15:35:01+00:00
joseph,135,neutral,commute,2021-08-17 16:47:40+00:00,2021-08-17 19:14:52+00:00
joseph,136,sad,commute,2021-08-17 20:18:46+00:00,2021-08-17 21:41:26+00:00
joseph,137,neutral,commute,2021-08-17 22:51:50+00:00,2021-08-17 23:15:24+00:00
joseph,138,neutral,relax,2021-08-18 00:26:48+00:00,2021-08-18 00:40:22+00:00
joseph,139,sad,commute,2021-08-18 06:54:53+00:00,2021-08-18 07:24:38+00:00
joseph,140,sad,study,2021-08-18 14:24:40+00:00,2021-08-18 14:59:57+00:00
joseph,141,sad,relax,2021-08-18 23:53:46+00:00,2021-08-19 00:47:30+00:00
joseph,142,sad,relax,2021-08-19 02:30:11+00:00,2021-08-19 03:14:22+00:00
joseph,143,neutral,relax,2021-08-19 05:20:40+00:00,2021-08-19 05:20:40+00:00
joseph,144,neutral,study,2021-08-19 16:06:39+00:00,2021-08-19 16:06:39+00:00
joseph,145,sad,commute,2021-08-19 20:21:53+00:00,2021-08-19 21:43:20+00:00
joseph,146,sad,commute,2021-08-19 22:48:18+00:00,2021-08-19 23:48:00+00:00
joseph,147,sad,commute,2021-08-20 06:09:36+00:00,2021-08-20 06:58:42+00:00
joseph,148,neutral,commute,2021-08-20 19:48:20+00:00,2021-08-20 20:34:33+00:00
joseph,149,sad,commute,2021-08-20 22:33:56+00:00,2021-08-21 01:30:02+00:00
joseph,150,neutral,relax,2021-08-21 04:37:56+00:00,2021-08-21 04:37:56+00:00
joseph,151,neutral,commute,2021-08-21 08:02:00+00:00,2021-08-21 08:02:00+00:00
joseph,152,neutral,commute,2021-08-21 19:21:23+00:00,2021-08-21 21:54:46+00:00
joseph,153,neutral,commute,2021-08-21 22:27:35+00:00,2021-08-21 22:40:58+00:00
joseph,154,sad,relax,2021-08-21 23:31:34+00:00,2021-08-22 00:36:38+00:00
joseph,155,sad,relax,2021-08-22 01:42:59+00:00,2021-08-22 04:57:45+00:00
joseph,156,neutral,study,2021-08-22 15:13:49+00:00,2021-08-22 15:13:49+00:00
joseph,157,neutral,relax,2021-08-23 00:33:59+00:00,2021-08-23 00:40:46+00:00
joseph,158,neutral,relax,2021-08-23 01:15:24+00:00,2021-08-23 01:32:04+00:00
joseph,159,happy,relax,2021-08-23 03:16:30+00:00,2021-08-23 04:26:46+00:00
joseph,160,neutral,commute,2021-08-23 07:27:19+00:00,2021-08-23 07:27:19+00:00
joseph,161,neutral,commute,2021-08-23 21:25:47+00:00,2021-08-23 21:38:08+00:00
joseph,162,sad,relax,2021-08-23 23:57:34+00:00,2021-08-24 00:24:47+00:00
joseph,163,sad,relax,2021-08-24 01:29:59+00:00,2021-08-24 02:40:46+00:00
joseph,164,neutral,relax,2021-08-24 03:17:12+00:00,2021-08-24 03:21:20+00:00
joseph,165,neutral,relax,2021-08-24 05:00:10+00:00,2021-08-24 05:00:10+00:00
joseph,166,neutral,study,2021-08-24 15:39:49+00:00,2021-08-24 17:12:37+00:00
joseph,167,neutral,commute,2021-08-24 18:01:01+00:00,2021-08-24 18:12:57+00:00
joseph,168,sad,commute,2021-08-24 19:24:30+00:00,2021-08-24 20:10:49+00:00
joseph,169,neutral,commute,2021-08-24 21:49:52+00:00,2021-08-24 22:06:11+00:00
joseph,170,neutral,relax,2021-08-24 23:33:32+00:00,2021-08-25 00:54:14+00:00
joseph,171,neutral,relax,2021-08-25 03:22:27+00:00,2021-08-25 03:22:27+00:00
joseph,172,neutral,relax,2021-08-25 04:22:00+00:00,2021-08-25 04:35:12+00:00
joseph,173,sad,study,2021-08-25 14:09:54+00:00,2021-08-25 14:35:41+00:00
joseph,174,neutral,commute,2021-08-25 18:58:59+00:00,2021-08-25 19:34:40+00:00
joseph,175,neutral,commute,2021-08-25 21:27:03+00:00,2021-08-25 22:13:38+00:00
joseph,176,neutral,relax,2021-08-25 22:45:43+00:00,2021-08-25 22:46:40+00:00
joseph,177,neutral,commute,2021-08-26 07:06:39+00:00,2021-08-26 07:06:39+00:00
joseph,178,hype,workout,2021-08-26 15:19:02+00:00,2021-08-26 17:22:22+00:00
joseph,179,neutral,commute,2021-08-26 19:19:42+00:00,2021-08-26 20:12:51+00:00
joseph,180,neutral,commute,2021-08-26 21:50:46+00:00,2021-08-26 22:00:06+00:00
joseph,181,neutral,commute,2021-08-26 23:19:06+00:00,2021-08-26 23:26:27+00:00
joseph,182,neutral,relax,2021-08-27 00:24:32+00:00,2021-08-27 00:35:57+00:00
joseph,183,neutral,relax,2021-08-27 04:55:52+00:00,2021-08-27 05:24:42+00:00
joseph,184,neutral,study,2021-08-27 15:59:34+00:00,2021-08-27 17:46:48+00:00
joseph,185,neutral,commute,2021-08-27 19:17:45+00:00,2021-08-27 19:36:38+00:00
joseph,186,neutral,commute,2021-08-27 21:20:47+00:00,2021-08-27 23:15:36+00:00
joseph,187,neutral,relax,2021-08-28 00:27:43+00:00,2021-08-28 00:27:43+00:00
joseph,188,neutral,relax,2021-08-28 01:30:28+00:00,2021-08-28 01:54:47+00:00
joseph,189,neutral,commute,2021-08-28 06:12:49+00:00,2021-08-28 06:22:29+00:00
joseph,190,neutral,study,2021-08-28 15:09:26+00:00,2021-08-28 17:18:51+00:00
joseph,191,neutral,commute,2021-08-28 18:55:37+00:00,2021-08-28 18:55:37+00:00
joseph,192,neutral,relax,2021-08-29 01:07:10+00:00,2021-08-29 01:23:54+00:00
